instrument,band,visit,detector,Templ_psf_nea,Calexp_psf_nea,Diff_psf_nea
HSC,g,11690,49,60.18208764293671,70.2443694851649,69.23460475792166
HSC,g,11690,50,60.317374874644536,70.74483419332418,69.76001150099634
HSC,g,11690,57,58.4219136588174,70.1268780029618,69.17192869729382
HSC,g,11690,58,59.05250515681895,70.11841593472654,69.09035601470916
HSC,g,11692,49,60.640344872421494,63.94483113270401,63.69162753453753
HSC,g,11692,50,58.82142286353476,64.29606184727878,63.97910422738797
HSC,g,11692,57,58.20241304890116,64.73359152579206,64.5004003406914
HSC,g,11692,58,60.00859958385847,65.0435028244631,64.70532309016737
HSC,g,11694,49,59.011796343856794,64.49551354166834,64.47678372072936
HSC,g,11694,50,58.94727357552001,61.73775070547335,61.75126421652095
HSC,g,11694,57,58.13084642210519,62.02523850593723,62.05520861774896
HSC,g,11694,58,59.58315946614285,61.492687422751644,61.53928995610418
HSC,g,11696,49,59.79339329222327,66.43451868025345,65.97426446294858
HSC,g,11696,50,59.375006737927016,65.82171047762398,65.40467391463129
HSC,g,11696,57,59.41426993756409,64.55707424920163,64.19317751733561
HSC,g,11696,58,60.81856005526409,65.39581689242542,65.00509111942219
HSC,g,11698,49,60.03095846645773,64.606670089736,64.42282843755896
HSC,g,11698,50,58.74973859181052,64.35293014999576,64.14974350630385
HSC,g,11698,57,60.52574823671214,62.45864566879052,62.33369644983664
HSC,g,11698,58,60.23482944398586,63.37336270594529,63.226082290340074
HSC,g,11700,49,60.595720979714365,65.05925052322362,64.66686656607293
HSC,g,11700,50,59.82089048068075,65.40087712514071,64.85703258556791
HSC,g,11700,57,58.349247357851105,64.96372355211862,64.55347275142505
HSC,g,11700,58,60.87180533909953,63.03321845364438,62.46561665853474
HSC,g,11702,49,59.030234719576434,59.615601200619686,59.875144115538134
HSC,g,11702,50,57.87540473237889,60.931859709208,61.17246893587498
HSC,g,11702,57,59.36425318402957,60.270053874858505,60.534235306670844
HSC,g,11702,58,59.02508929859796,57.51652973451191,57.69686988986747
HSC,g,11704,49,56.97361134485894,58.9184322316541,59.57871542488442
HSC,g,11704,50,59.66308892754169,58.57643203312452,59.176430104943194
HSC,g,11704,57,57.56549368692683,57.87885730551458,58.58466805376541
HSC,g,11704,58,58.1276499692683,54.691041362947374,55.342819159955994
HSC,g,11706,49,60.70610973823002,69.04339649159445,68.23921648528287
HSC,g,11706,50,59.29768160309054,68.70192527827697,67.86438901090287
HSC,g,11706,57,57.58209812019797,68.41518603520984,67.65857945517689
HSC,g,11706,58,59.84798852629658,69.50562059611016,68.68853679448512
HSC,g,11708,49,59.64680335190982,75.73802287271867,74.19862194634746
HSC,g,11708,50,60.80823415369396,75.586124846621,73.99343053220423
HSC,g,11708,57,57.63742487040833,74.73664408144187,73.26391894981984
HSC,g,11708,58,58.97431120746816,75.3176064486037,73.85257862483203
HSC,g,11710,49,58.31443780779403,88.05791814171654,85.28366822643044
HSC,g,11710,50,59.01964283295199,89.06316288133198,86.13896995786159
HSC,g,11710,57,57.78545157625265,86.3440663640469,83.61855995159037
HSC,g,11710,58,59.94138659485791,86.46555419740521,83.70340552312331
HSC,g,29340,49,59.57928219627514,83.20566156913067,80.56140497272816
HSC,g,29340,50,59.406655262747236,83.87944339691589,80.89511132631449
HSC,g,29340,57,61.002227216962304,80.8266304127582,78.35714232636519
HSC,g,29340,58,59.61415735806941,82.2507187112561,79.34362079652216
HSC,r,1204,49,25.96012081108538,38.82439265693267,36.75526394444898
HSC,r,1204,50,24.876428972861945,39.29496302735402,37.34668644241068
HSC,r,1204,57,24.688242704600455,38.995656913236246,36.81371859839151
HSC,r,1204,58,25.936475974766534,39.27949989852599,37.485880908172675
HSC,r,1208,49,25.43144739127191,26.493802969512142,26.467807963492362
HSC,r,1208,50,25.56068097691844,26.85989804582016,26.94877825197897
HSC,r,1208,57,26.091337614493558,26.193771908525363,26.267954202273874
HSC,r,1208,58,27.67942944258133,26.786450402051805,27.05353288329319
HSC,r,1214,49,25.913146384480278,36.79255634768868,35.099777346361236
HSC,r,1214,50,25.11641560427953,36.55903638734107,35.12563817826256
HSC,r,1214,57,24.881810256731647,36.52741309709825,34.83654873815234
HSC,r,1214,58,26.001862062081795,35.390766839345865,34.09637004219684
HSC,r,1216,49,25.467813721456583,27.810112609896485,27.51710606630529
HSC,r,1216,50,26.160447881371695,28.526660583583926,28.354842030244836
HSC,r,1216,57,25.891972295891104,28.383500254780742,28.118822170958705
HSC,r,1216,58,26.57503499600009,28.47322371516885,28.31408203487703
HSC,r,1218,49,25.55793773300707,27.81181931126,27.59750283035566
HSC,r,1218,50,25.54486217031242,27.15233091422994,27.177896584832947
HSC,r,1218,57,26.147036167982986,27.82912561024051,27.713387689561397
HSC,r,1218,58,27.46219260901638,27.649081021518256,27.66225255849331
HSC,r,1220,49,26.540779217129895,28.514937647067438,28.453889749979705
HSC,r,1220,50,26.240082984168748,27.27440188215895,27.228027729282356
HSC,r,1220,57,26.873857896958476,28.393168829612463,28.22750764473154
HSC,r,1220,58,26.36394898460166,27.482501516366128,27.39154239902204
HSC,r,23692,49,26.491021175023967,28.77037024687745,28.576465973831745
HSC,r,23692,50,26.027864156356145,28.913046786419116,28.73907898357988
HSC,r,23692,57,25.852928679516783,28.446945683429654,28.28641272925448
HSC,r,23692,58,26.669475427115437,28.732490518136053,28.430541658017592
HSC,r,23694,49,26.473265035102088,24.859162038382134,25.29582805126485
HSC,r,23694,50,24.69353721299419,24.96797002803428,25.459421838813427
HSC,r,23694,57,25.30905424992384,23.908927499550753,24.41518016931551
HSC,r,23694,58,26.025162001857197,25.852543291828017,26.20854057221654
HSC,r,23704,49,25.328163710455836,28.769404499297913,28.385566263644264
HSC,r,23704,50,25.857341770867492,29.054370086934487,28.75346670214793
HSC,r,23704,57,25.730043807073258,29.09456639239184,28.777149466022244
HSC,r,23704,58,26.524249135273045,29.674127382042233,29.398250062154176
HSC,r,23718,49,25.7822051399404,36.06706591274885,34.81566814277489
HSC,r,23718,50,26.411387992806777,36.132494489983095,35.07427970898931
HSC,r,23718,57,25.76701341004692,35.72480327060521,34.53184593674058
HSC,r,23718,58,26.78731452725464,37.49804874646302,36.350752002312106
